City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,salalah,17.02,54.09,69.8,73,20,4.7,OM,1581213379
1,dingle,11.0,122.67,81.3,76,85,13.56,PH,1581213379
2,kodiak,57.79,-152.41,39.2,55,40,13.87,US,1581213379
3,ulladulla,-35.35,150.47,66.2,100,90,21.92,AU,1581213379
4,mahebourg,-20.41,57.7,77.0,73,20,5.82,MU,1581213379
5,rikitea,-23.12,-134.97,77.38,78,44,15.82,PF,1581213379
6,necochea,-38.55,-58.74,59.0,75,67,7.0,AR,1581213103
7,tasiilaq,65.61,-37.64,28.4,86,100,40.26,GL,1581213380
8,padang,-0.95,100.35,79.07,64,100,2.35,ID,1581213380
9,mataura,-46.19,168.86,55.0,86,100,14.0,NZ,1581213380
10,salinopolis,-0.61,-47.36,78.87,81,100,16.28,BR,1581213121
11,dhidhdhoo,6.88,73.1,81.36,77,0,16.08,MV,1581213380
12,albany,42.6,-73.97,19.99,100,40,2.33,US,1581213316
13,port elizabeth,-33.92,25.57,66.2,93,8,1.12,ZA,1581213363
14,mackay,-21.15,149.2,90.0,66,0,14.99,AU,1581213380
15,puerto ayora,-0.74,-90.35,78.93,85,39,6.13,EC,1581213380
16,hobart,-42.88,147.33,72.0,45,75,4.7,AU,1581213380
17,hilo,19.73,-155.09,77.0,47,90,3.36,US,1581213380
18,mahibadhoo,3.78,72.97,81.54,80,63,10.22,MV,1581213380
19,arraial do cabo,-22.97,-42.03,77.09,82,58,25.84,BR,1581213380
20,nokaneng,-19.67,22.27,69.6,84,0,6.82,BW,1581213380
21,punta arenas,-53.15,-70.92,55.4,71,66,12.75,CL,1581213381
22,lompoc,34.64,-120.46,55.99,81,40,11.41,US,1581213381
23,ushuaia,-54.8,-68.3,55.4,66,0,5.82,AR,1581213381
24,palmer,42.16,-72.33,28.4,58,1,6.93,US,1581213276
25,biak,-0.91,122.88,83.57,72,100,9.35,ID,1581213381
26,aklavik,68.22,-135.01,-20.2,75,90,4.7,CA,1581213381
27,lavrentiya,65.58,-171.0,-20.13,88,28,8.46,RU,1581213381
28,peniche,39.36,-9.38,53.01,81,15,4.7,PT,1581213381
29,sampit,-2.53,112.95,87.12,63,100,4.03,ID,1581213381
30,arlit,18.74,7.39,59.86,16,0,11.25,NE,1581213381
31,avarua,-21.21,-159.78,84.2,74,100,13.87,CK,1581213381
32,ribeira grande,38.52,-28.7,58.84,84,100,15.28,PT,1581213381
33,esperance,-33.87,121.9,69.8,56,75,18.34,AU,1581213381
34,east london,-33.02,27.91,69.46,80,33,1.3,ZA,1581213382
35,chuy,-33.7,-53.46,66.51,86,11,9.84,UY,1581213382
36,busselton,-33.65,115.33,73.99,31,0,10.47,AU,1581213382
37,meridian,43.61,-116.39,42.8,60,90,6.93,US,1581213360
38,tiksi,71.69,128.87,-19.08,66,0,5.1,RU,1581213382
39,kapit,2.02,112.93,87.21,63,100,0.09,MY,1581213382
40,ostrovnoy,68.05,39.51,23.86,91,100,16.84,RU,1581213382
41,heilbron,-27.28,27.97,56.88,93,0,4.03,ZA,1581213382
42,cabo san lucas,22.89,-109.91,69.01,77,75,5.82,MX,1581213383
43,haicheng,40.85,122.75,31.46,61,66,15.99,CN,1581213384
44,thompson,55.74,-97.86,8.6,84,75,4.7,CA,1581213188
45,puerto colombia,10.99,-74.95,80.6,74,54,13.87,CO,1581213384
46,barguzin,53.62,109.62,6.73,95,100,8.93,RU,1581213384
47,krabi,8.07,98.91,80.6,88,20,4.7,TH,1581213384
48,victor harbor,-35.57,138.62,89.01,37,0,16.11,AU,1581213384
49,cap malheureux,-19.98,57.61,77.0,73,20,5.82,MU,1581213121
50,barrow,71.29,-156.79,-34.6,96,1,4.99,US,1581213384
51,port moresby,-9.44,147.18,78.8,94,75,10.29,PG,1581213384
52,ati,13.22,18.34,70.11,26,58,12.62,TD,1581213384
53,souillac,-20.52,57.52,77.0,73,20,5.82,MU,1581213384
54,rimbey,52.63,-114.24,23.0,67,20,4.7,CA,1581213384
55,bredasdorp,-34.53,20.04,69.8,83,9,3.36,ZA,1581213384
56,ormond beach,29.29,-81.06,59.0,93,1,6.46,US,1581213384
57,sayyan,15.17,44.32,52.56,84,0,4.03,YE,1581213385
58,havre-saint-pierre,50.23,-63.6,3.2,45,1,9.17,CA,1581213385
59,bethel,41.37,-73.41,33.8,86,75,3.33,US,1581213385
60,tuktoyaktuk,69.45,-133.04,-25.6,74,90,3.36,CA,1581213385
61,castro,-24.79,-50.01,63.5,98,77,2.73,BR,1581213385
62,olhao,37.03,-7.84,55.4,100,75,2.24,PT,1581213385
63,hami,42.8,93.45,25.9,47,0,1.48,CN,1581213385
64,vadso,70.07,29.75,23.0,92,75,17.22,NO,1581213385
65,yellowknife,62.46,-114.35,-5.8,83,75,2.24,CA,1581213385
66,te anau,-45.42,167.72,59.05,64,26,5.99,NZ,1581213385
67,fortuna,40.6,-124.16,48.0,70,75,23.04,US,1581213304
68,grindavik,63.84,-22.43,30.2,92,40,9.17,IS,1581213385
69,qaanaaq,77.48,-69.36,-20.88,67,0,4.45,GL,1581213385
70,tromso,69.65,18.96,37.4,88,90,16.11,NO,1581213386
71,norman wells,65.28,-126.83,-5.8,83,75,2.24,CA,1581213386
72,jamestown,42.1,-79.24,26.01,100,90,1.68,US,1581213386
73,nanortalik,60.14,-45.24,17.8,77,67,39.55,GL,1581213386
74,atuona,-9.8,-139.03,81.52,68,0,15.66,PF,1581213386
